ID,Severity,Area,Title,Evidence,Impact,Recommendation,Confidence,Status,Remediation,Verification
QA-011,متوسط,سلسلة التوريد,CI يفتقد فحوص SAST وSBOM وcontainer scan وprovenance,Workflow الحالي يبني ويشغل اختبارات فقط؛ لا CodeQL/SAST، لا secret scan رسمي، لا SBOM، لا فحص صورة، ولا توقيع/attestation.,ثغرات الكود والصورة وسلسلة التوريد قد تمر رغم نجاح الاختبارات.,أضف CodeQL أو SAST مكافئاً، Gitleaks، Trivy/Grype، CycloneDX/SPDX، وSLSA provenance.,مؤكد,مصحح ومختبر,أضيف CodeQL، Gitleaks، npm audit، CycloneDX SBOM، فحص صورة Anchore، وتشهد provenance.,npm run check:all + .github/workflows/ci.yml
QA-012,متوسط,سلسلة التوريد,GitHub Actions مثبتة على tags متحركة,`.github/workflows/ci.yml` يستخدم `actions/checkout@v4` و`actions/setup-node@v4`.,التنفيذ ليس قابلاً لإعادة الإنتاج تماماً، وtag يمكن أن يتغير.,ثبّت كل Action على commit SHA موثوق مع تحديث آلي مراقب.,مؤكد,مصحح ومختبر,ثُبتت جميع GitHub Actions ببصمات commit SHA مع Dependabot للتحديثات.,npm run check:all + .github/workflows/ci.yml
QA-013,عالٍ,النشر والاختبارات,CI يبني الحاوية ولا يشغلها أو يتحقق من healthcheck,`.github/workflows/ci.yml:66-72` ينفذ `docker build` فقط.,سمح بخروج صورة تبنى بنجاح لكنها تصبح Unhealthy عند التشغيل.,شغّل الصورة في CI بإعداد إنتاجي مصغر، انتظر health status، واختبر live/ready عبر Host مسموح.,مؤكد,مصحح ومختبر,وظيفة الحاوية تبني الصورة، تشغلها بإعداد إنتاج، تنتظر Docker HEALTHCHECK، تفحص liveness ثم تفحص الثغرات.,npm run check:all + .github/workflows/ci.yml
QA-014,متوسط,التكاملات,لا توجد اختبارات staging حقيقية للمزودات الخارجية,اختبارات البريد/الدفع/Google تعتمد mocks أو إعدادات fake، ولا توجد أدلة contract tests حقيقية في بيئة staging.,أخطاء schema/permissions/webhook/provider لن تظهر قبل الإطلاق.,أضف بيئة staging منفصلة ومفاتيح اختبار، واختبارات contract دورية مع Stripe/Google/mail provider.,مؤكد,غير مغلق — يتطلب إعادة معمارية/قرار خارجي,لا يمكن اختبار Stripe/Google/SMTP/backup vault الحقيقي من دون حسابات staging ومفاتيح وبيئة خارجية. أضيفت mocks خادمية وعقود صارمة، لكن اختبار staging يبقى عملاً تشغيلياً خارج المستودع.,npm run check:all + .github/workflows/ci.yml
DEP-001,حرج,Docker والنشر,Docker HEALTHCHECK يفشل في إعداد الإنتاج الموثق,`Dockerfile:16-17` يطلب `127.0.0.1`، بينما Host allowlist يرفضه. اختبار فعلي أعاد 421 لـ127.0.0.1 و200 للـHost المسموح. الدليل: `/mnt/data/bawsala-prod-health-results.txt`.,الحاوية تُعلّم Unhealthy وقد يعيد orchestrator تشغيلها أو يوقف التوجيه إليها رغم أن الخدمة تعمل.,اجعل healthcheck يرسل Host مسموحاً، أو خصص endpoint loopback داخلياً قبل فحص Host/HTTPS، ثم اختبره داخل الصورة.,مؤكد,مصحح ومختبر,مسار /api/health/live صار متاحاً للـloopback قبل رفض Host/HTTPS، وCI يشغل الحاوية ويتحقق من health status.,npm run check:all + .github/workflows/ci.yml
DEP-002,متوسط,Docker والنشر,صورة Docker تنسخ المستودع كاملاً,`Dockerfile:11` ينفذ `COPY . .` و`.dockerignore` لا يستبعد `docs/` و`tools/` والمصادر غير اللازمة.,صورة أكبر، سطح معلومات أوسع، وإمكانية تسريب تقارير/أدوات داخل runtime.,استخدم multi-stage build وانسخ فقط server/lib/config/assets/dist/pages والملفات المطلوبة فعلاً.,مؤكد,مصحح ومختبر,Dockerfile متعدد المراحل وينسخ ملفات التشغيل المحددة فقط، مع .dockerignore أضيق.,npm run check:all + .github/workflows/ci.yml
DEP-003,متوسط,Docker والنشر,صورة الأساس غير مثبتة بـdigest,`FROM node:22-bookworm-slim` في `Dockerfile:1`.,نفس commit قد ينتج صورة مختلفة لاحقاً، مع مخاطر supply chain.,ثبّت digest، وجدوله للتحديث بعد فحص أمني.,مؤكد,مصحح ومختبر,ثُبتت صورة node:22-bookworm-slim على multi-platform index digest موثق.,npm run check:all + .github/workflows/ci.yml
DEP-004,عالٍ,القابلية للتوسع,الإنتاج يفرض نسخة واحدة فقط,`server.js:491` يرفض `BAWSALA_INSTANCE_COUNT != 1`، والتخزين مصمم single-writer.,لا يوجد horizontal scaling أو rolling deployment آمن متعدد النسخ؛ نقطة فشل واحدة.,افصل الحالة في قاعدة بيانات مشتركة، والـjobs في worker منفصل، واستخدم locking موزعاً.,مؤكد,غير مغلق — يتطلب إعادة معمارية/قرار خارجي,التطبيق ما زال يفرض نسخة واحدة لأن الجلسات والمهام والحالة ليست موزعة. إغلاقه يحتاج PostgreSQL/Redis/queue وهجرة تشغيلية، لا patch آمن داخل هذه النسخة.,npm run check:all + .github/workflows/ci.yml
DEP-005,عالٍ,التشغيل,مهام البريد والتنظيف والنسخ تعمل داخل web process,`server.js:4634-4638` يشغّل jobs دورية داخل نفس العملية التي تخدم HTTP.,إعادة النشر/التعطل تؤخر أو تكرر jobs، والضغط على job يؤثر على الطلبات.,انقلها إلى worker/queue مستقلة مع leases وretry policies ومراقبة.,مؤكد,مخفف — بقي قيد معروف,أضيفت leases واسترجاع jobs العالقة وdead-letter، لكن البريد والتنظيف والتذكيرات والنسخ ما زالت timers داخل web process.,npm run check:all + .github/workflows/ci.yml
DEP-006,متوسط,التشغيل,نسخة احتياطية عند كل بدء تشغيل دون شرط فعلي,"`server.js:4634` يستدعي `runScheduledBackup(""startup"")` دائماً؛ في بيئة بلا مفتاح يولد فشلاً تشغيلياً متوقعاً.",ضوضاء إنذارات وسجلات وقد تخفي فشلاً حقيقياً.,شغّل backup startup فقط عند اكتمال الإعداد، وافصل missing-config عن runtime failure.,مؤكد,مصحح ومختبر,النسخ عند الإقلاع معطلة افتراضياً ولا تعمل إلا عند BAWSALA_BACKUP_ON_STARTUP=true؛ الجدولة المنفصلة تبقى متاحة.,npm run check:all + .github/workflows/ci.yml
BE-001,عالٍ,معمارية Backend,"`server.js` God Object بحجم 4,647 سطراً",الملف يجمع HTTP routing، auth، sessions، billing، mail، Calendar، OAuth، backups، admin، metrics وstatic serving.,تداخل المسؤوليات يضاعف خطر regressions ويجعل الاختبار والمراجعة الأمنية أصعب.,قسّمه إلى modules/domain services/routes/repositories/workers بعقود واضحة.,مؤكد,مخفف — بقي قيد معروف,أُخرجت وحدات للمنطقة الزمنية والعقود والشبكة والتخزين، لكن server.js ما زال نحو 5000 سطر. تفكيكه الكامل يحتاج إعادة هيكلة متعددة المراحل.,Static/integration gates; architectural items require production migration tests
BE-002,متوسط,معمارية Frontend,`workspace.js` Controller ضخم بحجم 924 سطراً,ملف واحد يدير عدة أدوات ومسارات وحالات DOM وتخزين.,صيانة صعبة، coupling مرتفع، وتحميل كود كبير حتى لمسار فرعي واحد.,قسّمه حسب feature مع lazy loading وحالة مشتركة محدودة.,مؤكد,مخفف — بقي قيد معروف,أضيفت خدمات مشتركة وتحسينات، لكن workspace.js ما زال controller كبيراً ولم يُفكك إلى وحدات ميزات مستقلة.,Static/integration gates; architectural items require production migration tests
BE-003,عالٍ,التخزين,حالة عالمية mutable محملة كاملة في الذاكرة,`server.js` يدير كائن `db` عالمي؛ كل المجالات تعدله مباشرة ثم تحفظه.,سباقات منطقية، صعوبة عزل المعاملات، واستهلاك ذاكرة يتزايد مع البيانات.,استخدم repositories واستعلامات/transactions محددة بدلاً من تعديل state graph كامل.,مؤكد,مخفف — بقي قيد معروف,التخزين صار أكثر تحققاً وعمليات الاستعادة ذرية، لكن كائن الحالة العالمي داخل العملية ما زال قائماً.,Static/integration gates; architectural items require production migration tests
BE-004,عالٍ,الأداء Backend,SQLite متزامن يحجب event loop,`lib/state-store.js:192` يستخدم `DatabaseSync`، و`persistNow()` ينفذ الحفظ داخل مسار Node الرئيسي (`server.js:237-258`).,حفظ كبير أو checkpoint يمكن أن يرفع latency ويوقف جميع الطلبات.,استخدم driver غير متزامن أو worker thread/عملية DB، وقس event-loop lag تحت حمل.,مؤكد,غير مغلق — يتطلب إعادة معمارية/قرار خارجي,DatabaseSync المتزامن ما زال قادراً على حجب event loop تحت الحمل. الحل الحقيقي worker threads أو driver async/قاعدة خارجية.,Static/integration gates; architectural items require production migration tests
BE-005,عالٍ,الأداء Backend,كل حفظ يطبع ويقارن الحالة الواسعة,طبقة الحفظ تطبع normalized state وتقارن قيماً بـJSON قبل مزامنة الجداول، بدلاً من عمليات domain محددة.,كلفة CPU تتزايد مع حجم المستخدمين والسجلات حتى عند تعديل صغير.,اكتب تغييرات delta داخل transaction لكل use case، لا diff للحالة كلها.,مؤكد,مخفف — بقي قيد معروف,قلّ خطر الكتابات الخاطئة عبر transactions وCAS والتحقق، لكن مسار حفظ الحالة الواسع لم يُلغ بالكامل.,Static/integration gates; architectural items require production migration tests
BE-006,عالٍ,التخزين والسجلات,قنوات السجل تعاد كتابتها كاملة عند أي تغيير,`lib/state-store.js:444-449` يحذف channel ثم يعيد إدخال كل audit/security/payment entries.,write amplification، locks أطول، وتدهور حاد مع كثرة الأحداث.,اجعل الجداول append-only، واحذف القديم بسياسة retention مستقلة.,مؤكد,مخفف — بقي قيد معروف,أصبحت أحداث الأمن JSONL وبعض العمليات incremental، لكن قنوات حالة أخرى ما زالت قابلة لإعادة كتابة واسعة.,Static/integration gates; architectural items require production migration tests
BE-007,متوسط,التدقيق والأمن,سجلات مهمة محدودة بعدد صغير داخل الحالة,"audit يقص إلى 500 (`server.js:260-263`)، security إلى 300 (`server.js:120,401`)، payment إلى 500 (`server.js:3775-3776`).",تفقد تاريخاً مهماً للتحقيق والإثبات، كما تضعف idempotency للدفع.,خزن سجلات append-only بمدة احتفاظ واضحة وأرشفة خارجية؛ لا تستخدم ring buffer كدليل رسمي.,مؤكد,غير مغلق — يتطلب إعادة معمارية/قرار خارجي,حدود الاحتفاظ أصبحت أوضح لبعض الطوابير والسجلات، لكن بعض السجلات داخل الحالة ما زالت bounded arrays وليست مخزن أحداث مستقل.,Static/integration gates; architectural items require production migration tests
BE-008,متوسط,الرصد,المقاييس داخل الذاكرة وتبدأ من الصفر بعد restart,`runtimeMetrics` process-local؛ endpoint OpenMetrics يصدّر لقطة العملية الحالية فقط.,اللوحات قد تبدو سليمة بعد restart وتفقد الاتجاهات/SLO الحقيقي.,أرسل metrics إلى Prometheus/OTel خارج العملية مع counters مستمرة زمنياً.,مؤكد,غير مغلق — يتطلب إعادة معمارية/قرار خارجي,المقاييس ما زالت process-local وتُصفّر عند restart. يلزم Prometheus/OTel backend خارجي لإغلاق البند.,Static/integration gates; architectural items require production migration tests
BE-009,عالٍ,الرصد والقرارات,درجة Production Pulse مقياس مخصص يوحي بثقة زائفة,`server.js:2555-2585` يجمع أوزاناً داخلية ويعتبر `100-errorRate` availability.,الـscore ليس SLO ولا availability زمنية؛ قد يعطي healthy لخدمة غير سليمة وظيفياً.,اعرض إشارات خام وSLOs معرفة مسبقاً من قياس خارجي، واحذف الدرجة التسويقية من قرار الإطلاق.,مؤكد,مخفف — بقي قيد معروف,أزيل ادعاء الجاهزية الرقمي من بوابات الإصدار ووُصف النبض كإشارة تشغيل داخلية، لكن لوحة الإدارة ما زالت تعرض score مخصصاً.,Static/integration gates; architectural items require production migration tests
BE-010,متوسط,الرصد,وجود catches صامتة في مسارات التخزين والواجهة,توجد حالات `catch(_){/* ignore */}` وابتلاع أخطاء، منها استعادة البيانات (`backend-client.js:234-241`).,الأخطاء الجزئية تتحول إلى نجاح ظاهري بلا trace أو رسالة للمستخدم.,لا تبتلع الأخطاء التي تمس البيانات؛ سجّل structured error وأرجع نتيجة جزئية صريحة.,مؤكد,مخفف — بقي قيد معروف,أزيلت catches صامتة من المسارات الحرجة وأصبحت أخطاء التخزين والمزامنة مرئية؛ بقيت catches مقصودة لأعمال best-effort والواجهة.,Static/integration gates; architectural items require production migration tests
SEC-001,عالٍ,أمن الحسابات,لا توجد MFA/WebAuthn للحسابات الإدارية,لم يوجد تنفيذ TOTP/WebAuthn/2FA في auth أو صفحات الإدارة.,سرقة كلمة مرور/جلسة admin تعطي سيطرة كاملة على المستخدمين والإعدادات.,أضف WebAuthn أو TOTP إلزامياً للأدوار الحساسة مع step-up auth للإجراءات الخطرة.,مؤكد,مصحح ومختبر,أضيف TOTP للإدارة مع سر مشفر ورموز استرداد أحادية الاستخدام، وتُحجب مسارات admin حتى تفعيل MFA.,tools/security-unit-tests.mjs + tools/security-regression.mjs + tools/production-hardening-tests.mjs
SEC-002,متوسط,أمن الجلسات,ربط الجلسة بالبصمة معطل افتراضياً,`server.js:110` يجعل `STRICT_SESSION_BINDING` false افتراضياً؛ mismatch يسجل فقط (`server.js:961-968`).,سرقة cookie لا تُحبط بالبصمة، رغم وجود آلية توحي بالعكس.,اعتمد risk-based session protection وstep-up؛ لا تعتمد IP fingerprint وحدها بسبب التنقل والشبكات.,مؤكد,مخفف — بقي قيد معروف,بصمة جلسة المدير صارمة دائماً. ربط جلسات الطلاب العامة يبقى اختيارياً لتجنب كسر الأجهزة المتغيرة، لذلك الخطر خُفف ولم يُلغ كلياً.,tools/security-unit-tests.mjs + tools/security-regression.mjs + tools/production-hardening-tests.mjs
SEC-003,عالٍ,SSRF,فحص DNS عرضة لـDNS rebinding/TOCTOU,`assertSafeOutboundUrl` يحل DNS ثم `https.request(url)` يحله مرة ثانية (`server.js:276-299`).,مضيف يغير DNS بين الفحص والاتصال قد يحول الطلب إلى عنوان خاص.,ثبّت عنوان IP الذي تم التحقق منه عبر custom lookup/agent مع TLS servername والتحقق من كل redirect.,مؤكد,مصحح ومختبر,اتصال HTTP/TLS يستخدم عنوان IP نفسه الذي اجتاز DNS/private-range validation، فأُغلق TOCTOU/DNS rebinding.,tools/security-unit-tests.mjs + tools/security-regression.mjs + tools/production-hardening-tests.mjs
SEC-004,متوسط,XSS,سطح DOM XSS واسع جداً,الفحص وجد 123 استخداماً لـinnerHTML/insertAdjacentHTML في المصدر. معظم البيانات مهربة، لكن كثرة sinks ترفع احتمال تفويت واحد.,أي خطأ escaping يصبح stored-XSS خصوصاً مع بيانات localStorage المتعددة.,استخدم DOM APIs/textContent أو templating آمن، وTrusted Types، وراجع كل sink بالـtaint source.,مؤكد,مخفف — بقي قيد معروف,عولجت نقاط حساسة وأضيفت اختبارات escaping وDOM-only في auth-status، لكن استخدام innerHTML الواسع ما زال ديناً أمنياً.,tools/security-unit-tests.mjs + tools/security-regression.mjs + tools/production-hardening-tests.mjs
SEC-005,متوسط,XSS,escape في auth-status يفشل بوضع fail-open,`assets/js/auth-status.js:3` يعيد النص الخام إذا لم يحمل `MT_SECURITY`، ثم يضع اسم المستخدم داخل `innerHTML` (`:15`).,خلل ترتيب/تحميل bundle يحول اسم المستخدم إلى HTML غير مهرب.,اجعل fallback escape داخلياً آمناً أو استخدم textContent وعناصر DOM.,مؤكد,مصحح ومختبر,auth-status صار يبني DOM بـtextContent ولا يملك مسار escape fail-open.,tools/security-unit-tests.mjs + tools/security-regression.mjs + tools/production-hardening-tests.mjs
SEC-006,منخفض,XSS,رابط إعادة التعيين التطويري يدخل raw HTML,`assets/js/auth.js:95` يضع `reset.devResetUrl` مباشرة في href/innerHTML.,المصدر خادمي وتطويري، لذلك الاستغلال المباشر منخفض، لكنه نمط غير آمن.,أنشئ عنصر `<a>` واضبط `href` بعد allowlist للبروتوكول/origin.,مؤكد,مصحح ومختبر,رابط إعادة التعيين التطويري يُنشأ بعناصر DOM وURL من نفس origin بدلاً من raw HTML.,tools/security-unit-tests.mjs + tools/security-regression.mjs + tools/production-hardening-tests.mjs
SEC-007,متوسط,التحقق من المدخلات,اسم `cleanText` مضلل وليس sanitizer HTML,`server.js:663-670` يعالج `<script` وschemes فقط ولا يهرب بقية HTML.,مطوّر لاحق قد يستخدمه في HTML معتقداً أنه يمنع XSS.,سمّه `normalizePlainText`، ولا تعرضه كحماية XSS؛ طبق escaping حسب السياق عند العرض.,مؤكد,مخفف — بقي قيد معروف,لم يعد cleanText يُعامل كـHTML sanitizer في المسارات الحساسة، لكن الاسم والدالة العامة ما زالا موجودين ويجب استبدالهما بعقود سياقية عند التفكيك.,tools/security-unit-tests.mjs + tools/security-regression.mjs + tools/production-hardening-tests.mjs
CAL-001,حرج,التقويم,الوقت المحلي يفسر كأنه UTC,"`deriveStartTime()` يضيف `Z` مباشرة إلى date/time (`server.js:1523-1528`) رغم أن الواجهة ترسل timezone `Asia/Amman` (`assets/js/calendar.js:161,208`).",موعد 09:00 محلياً يصبح instant مختلفاً؛ التذكيرات والمزامنة قد تنزاح ساعات أو يوماً.,حوّل wall time داخل IANA timezone إلى instant حقيقي بمكتبة زمنية موثوقة، وخزن instant+timezone.,مؤكد,مصحح ومختبر,أضيف تحويل wall-time ↔ instant باستخدام IANA timezone بدلاً من تفسير الوقت المحلي كـUTC.,tools/timezone-tests.mjs + tools/server-smoke.mjs
CAL-002,عالٍ,Google Calendar,إرسال Google يجمع ISO UTC مع timeZone بشكل متناقض,`googleEventPayload` يرسل `dateTime` من ISO المشتق خطأ و`timeZone` منفصلاً (`server.js:2818-2825`).,Google قد يعرض وقتاً مختلفاً عن الذي أدخله الطالب.,أرسل RFC3339 instant الصحيح، أو local dateTime بدون offset وفق عقد Google، بعد تحويل مضبوط.,مؤكد,مصحح ومختبر,Google export يرسل dateTime instant صحيحاً مع timeZone متسق.,tools/timezone-tests.mjs + tools/server-smoke.mjs
CAL-003,عالٍ,Google Calendar,سحب Google يقتطع التاريخ والوقت من UTC string,"`localEventFromGoogle` يستخدم `startTime.slice(0,10)` و`slice(11,16)` (`server.js:2829-2844`).",حدث قرب منتصف الليل يمكن أن ينتقل إلى يوم آخر في الواجهة المحلية.,حوّل instant إلى timezone الحدث قبل استخراج date/time.,مؤكد,مصحح ومختبر,Google import يحول instant إلى wall time في المنطقة المحددة بدل اقتطاع ISO UTC.,tools/timezone-tests.mjs + tools/server-smoke.mjs
CAL-004,عالٍ,التقويم,فلاتر المدى مبنية على حدود يوم UTC,`filterCalendarEvents` يبني 00:00Z و23:59:59Z (`server.js:1608-1623`).,نتائج الشهر/اليوم قد تستبعد أو تضم أحداثاً خاطئة حسب المنطقة الزمنية.,ابنِ حدود المدى في timezone المستخدم ثم حوّلها إلى instants.,مؤكد,مصحح ومختبر,فلاتر المدى تستخدم zonedDayBounds لا حدود UTC العمياء.,tools/timezone-tests.mjs + tools/server-smoke.mjs
CAL-005,حرج,التذكيرات,لا يوجد dispatcher مجدول للتذكيرات,الاستدعاء الوحيد المرئي هو POST يدوي `/api/calendar/reminders/dispatch` (`server.js:3643-3647`) وزر في الواجهة (`calendar.js:177-179`).,المستخدم لن يتلقى تذكيراً تلقائياً إلا إذا فتح الصفحة وضغط الزر؛ الميزة الأساسية لا تعمل كما يتوقع.,شغّل scheduler/queue مستقلة دورياً، مع lease، retries، مراقبة، واختبار end-to-end.,مؤكد,مصحح ومختبر,أضيف dispatcher خادمي كل دقيقة للتذكيرات المستحقة.,tools/timezone-tests.mjs + tools/server-smoke.mjs
CAL-006,عالٍ,التذكيرات والأمن المنطقي,الخادم يثق بوقت `now` القادم من العميل,`dispatchCalendarReminders` يقبل `options.now` (`server.js:1739-1748`) والـroute يمرر `body.now`.,عميل يستطيع تقديم وقت مستقبلي وإطلاق كل التذكيرات مبكراً ووضعها sent.,استخدم ساعة الخادم فقط؛ وقت العميل للعرض لا لاتخاذ قرار إرسال.,مؤكد,مصحح ومختبر,الخادم يتجاهل now القادم من العميل ويستخدم ساعة الخادم.,tools/timezone-tests.mjs + tools/server-smoke.mjs
CAL-007,عالٍ,التذكيرات,الأحداث القديمة جداً ما زالت مؤهلة للإرسال,الشرط يرسل أي reminder حان قبل `now` ولا يضع حد lateness أو يتحقق أن الحدث لم ينته (`server.js:1743-1758`).,قد يصل تذكير قديم بعد أيام/أسابيع عند أول تشغيل يدوي.,تجاهل الأحداث المنتهية أو ضع نافذة تأخير قصوى وسياسة missed reminders.,مؤكد,مصحح ومختبر,أضيف حد أقصى للتأخير REMINDER_MAX_LATE لمنع إرسال أحداث قديمة جداً.,tools/timezone-tests.mjs + tools/server-smoke.mjs
CAL-008,عالٍ,التذكيرات,تعديل الموعد لا يعيد تفعيل التذكير,`normalizeCalendarEvent` يحافظ دائماً على `existing.reminderSentAt` (`server.js:1592-1595`).,بعد نقل حدث أو تغيير reminder لن يرسل التذكير الجديد.,صفّر `reminderSentAt` عند تغير start/end/reminder/timezone.,مؤكد,مصحح ومختبر,تعديل موعد/تذكير يعيد reset لحالة الإرسال.,tools/timezone-tests.mjs + tools/server-smoke.mjs
